epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.028,2.23135,3.09198,1.66396,0.68202,0.14963,0.10928,0.04759,2.04099,2.15142,1.50008,0.000166266,0.000166266,0.000166266
2,269.231,2.01486,2.23294,1.52279,0.64751,0.18724,0.1576,0.07086,1.99603,2.04988,1.50204,0.000321946,0.000321946,0.000321946
3,396.035,1.96902,2.10088,1.49721,0.59295,0.23809,0.22085,0.10359,1.95268,1.97398,1.49674,0.000466626,0.000466626,0.000466626
4,533.272,1.94857,2.00814,1.48677,0.40212,0.32725,0.27193,0.12886,1.92635,1.85361,1.45485,0.0004505,0.0004505,0.0004505
5,669.083,1.92809,1.94003,1.47534,0.4903,0.35939,0.33062,0.16242,1.87739,1.78107,1.46168,0.000434,0.000434,0.000434
6,793.032,1.9098,1.88108,1.46205,0.48989,0.36613,0.35997,0.17584,1.87119,1.73792,1.42954,0.0004175,0.0004175,0.0004175
7,917.309,1.90042,1.83665,1.45165,0.55126,0.36335,0.36779,0.1832,1.85188,1.72744,1.42183,0.000401,0.000401,0.000401
8,1041.94,1.88241,1.79855,1.44234,0.49759,0.40908,0.40787,0.20128,1.86411,1.67047,1.42991,0.0003845,0.0003845,0.0003845
9,1166.81,1.87707,1.77098,1.44092,0.4934,0.42543,0.4264,0.20697,1.85658,1.67381,1.40067,0.000368,0.000368,0.000368
10,1291.37,1.8684,1.74602,1.43076,0.46569,0.43973,0.42946,0.21449,1.85807,1.65741,1.41703,0.0003515,0.0003515,0.0003515
11,1415.89,1.85597,1.72265,1.42754,0.52761,0.45525,0.44978,0.22108,1.83505,1.62987,1.38853,0.000335,0.000335,0.000335
12,1540.27,1.85285,1.69498,1.41996,0.57406,0.46824,0.47776,0.23891,1.82577,1.57733,1.40794,0.0003185,0.0003185,0.0003185
13,1665.26,1.8427,1.67039,1.4113,0.53254,0.48045,0.48477,0.24632,1.8192,1.55051,1.4016,0.000302,0.000302,0.000302
14,1789.08,1.83692,1.65285,1.41019,0.57991,0.47791,0.51635,0.25839,1.80311,1.52543,1.37643,0.0002855,0.0002855,0.0002855
15,1912.4,1.82554,1.62998,1.40386,0.57357,0.49318,0.52064,0.26129,1.79725,1.49748,1.38122,0.000269,0.000269,0.000269
16,2035.46,1.82309,1.60777,1.3976,0.59909,0.52338,0.54874,0.27366,1.79232,1.48705,1.36513,0.0002525,0.0002525,0.0002525
17,2157.84,1.81525,1.59897,1.39543,0.60746,0.52885,0.55845,0.2833,1.78307,1.47775,1.35839,0.000236,0.000236,0.000236
18,2280.53,1.80863,1.5759,1.39216,0.62991,0.53944,0.57314,0.29003,1.77923,1.44661,1.36423,0.0002195,0.0002195,0.0002195
19,2402.72,1.80766,1.56673,1.39029,0.64084,0.54709,0.5841,0.29417,1.78527,1.44027,1.35444,0.000203,0.000203,0.000203
20,2525.84,1.7939,1.5462,1.38338,0.66179,0.5588,0.5993,0.30362,1.76956,1.39354,1.34841,0.0001865,0.0001865,0.0001865
21,2678.46,1.81461,1.53462,1.40206,0.656,0.56208,0.60264,0.30578,1.76698,1.40376,1.34156,0.00017,0.00017,0.00017
22,2799.4,1.79913,1.49021,1.39666,0.66009,0.5713,0.61389,0.31804,1.74509,1.36954,1.3384,0.0001535,0.0001535,0.0001535
23,2918.95,1.7896,1.46849,1.38778,0.6472,0.57177,0.61722,0.31897,1.74573,1.38834,1.33791,0.000137,0.000137,0.000137
24,3038.52,1.7843,1.45056,1.38462,0.68433,0.58906,0.63914,0.33223,1.73583,1.33984,1.32495,0.0001205,0.0001205,0.0001205
25,3158.05,1.77347,1.43262,1.37506,0.70183,0.60211,0.65482,0.3429,1.72751,1.32904,1.32527,0.000104,0.000104,0.000104
26,3278.57,1.76121,1.40427,1.36404,0.69168,0.61023,0.65585,0.3436,1.72867,1.30748,1.32405,8.75e-05,8.75e-05,8.75e-05
27,3398.89,1.75834,1.38996,1.36016,0.72243,0.60322,0.66275,0.34844,1.71984,1.29439,1.31692,7.1e-05,7.1e-05,7.1e-05
28,3519.25,1.75274,1.38081,1.35742,0.71501,0.61739,0.66984,0.35455,1.71024,1.28159,1.31568,5.45e-05,5.45e-05,5.45e-05
29,3638.57,1.7446,1.3698,1.35369,0.7074,0.61503,0.6667,0.35115,1.70947,1.277,1.31284,3.8e-05,3.8e-05,3.8e-05
30,3758.27,1.73965,1.35643,1.35122,0.72206,0.6182,0.6755,0.35635,1.70821,1.26781,1.31136,2.15e-05,2.15e-05,2.15e-05
